Chr	Start	End	GapType
1	121535434	124535434	centromere
2	92326171	95326171	centromere
3	90504854	93504854	centromere
4	49660117	52660117	centromere
5	46405641	49405641	centromere
6	58830166	61830166	centromere
7	58054331	61054331	centromere
8	43838887	46838887	centromere
9	47367679	50367679	centromere
10	39254935	42254935	centromere
11	51644205	54644205	centromere
12	34856694	37856694	centromere
13	16000000	19000000	centromere
14	16000000	19000000	centromere
15	17000000	20000000	centromere
16	35335801	38335801	centromere
17	22263006	25263006	centromere
18	15460898	18460898	centromere
19	24681782	27681782	centromere
20	26369569	29369569	centromere
21	11288129	14288129	centromere
22	13000000	16000000	centromere
X	58632012	61632012	centromere
Y	10104553	13104553	centromere
